schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,post_blocks,Admins can manage all post blocks,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))","(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))"
public,post_blocks,Admins can view all post blocks,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))",null
public,post_blocks,Authenticated users can manage blocks,PERMISSIVE,{public},ALL,(auth.uid() IS NOT NULL),(auth.uid() IS NOT NULL)
public,post_blocks,Authenticated users can view all blocks,PERMISSIVE,{public},SELECT,(auth.uid() IS NOT NULL),null
public,post_upvotes,Anyone can view upvotes,PERMISSIVE,{public},SELECT,true,null
public,post_upvotes,Authenticated users can insert own upvotes,PERMISSIVE,{public},INSERT,null,(auth.uid() = user_id)
public,post_upvotes,Users can delete own upvotes,PERMISSIVE,{public},DELETE,(auth.uid() = user_id),null
public,posts,Admins can delete all posts,PERMISSIVE,{public},DELETE,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))",null
public,posts,Admins can update all posts,PERMISSIVE,{public},UPDATE,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))",null
public,posts,Admins can view all posts,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))",null
public,posts,Authenticated users can create posts,PERMISSIVE,{public},INSERT,null,(auth.uid() IS NOT NULL)
public,posts,Authenticated users can delete posts,PERMISSIVE,{public},DELETE,(auth.uid() IS NOT NULL),null
public,posts,Authenticated users can update posts,PERMISSIVE,{public},UPDATE,(auth.uid() IS NOT NULL),null
public,posts,Authenticated users can view all posts,PERMISSIVE,{public},SELECT,(auth.uid() IS NOT NULL),null